price,points,country,province
44.0,94,US,California
24.0,87,US,California
45.0,92,US,Oregon
20.0,86,Italy,Veneto
35.31771674744211,87,Italy,Tuscany
24.0,84,US,California
35.31771674744211,89,France,Champagne
12.0,87,Germany,Mosel
8.0,84,US,California
30.0,89,Italy,Piedmont
28.0,90,US,California
27.0,91,Italy,Tuscany
15.0,86,France,Languedoc-Roussillon
12.0,84,France,France Other
25.0,87,France,Bordeaux
30.0,86,US,California
40.0,86,US,California
32.0,93,Austria,Kremstal
11.0,88,US,America
19.0,90,US,California
36.0,87,US,Oregon
11.0,81,Argentina,Mendoza Province
18.0,87,Italy,Lombardy
55.0,89,Italy,Tuscany
90.0,91,US,Oregon
28.0,90,US,Washington
24.0,87,Argentina,Mendoza Province
60.0,85,US,California
50.0,91,US,Oregon
13.0,88,Italy,Tuscany
27.0,88,US,Oregon
16.0,84,Bulgaria,Thracian Valley
27.0,90,US,Oregon
13.0,89,Italy,Piedmont
48.0,92,US,California
80.0,94,Italy,Tuscany
35.0,94,Portugal,Dão
35.31771674744211,90,Portugal,Alentejo
37.0,81,US,California
65.0,94,US,California
20.0,87,US,California
21.0,87,France,Burgundy
100.0,96,US,Oregon
48.0,92,US,California
18.0,86,France,Burgundy
60.0,89,US,California
35.31771674744211,85,Italy,Piedmont
35.31771674744211,90,Italy,Piedmont
25.0,87,US,California
16.0,86,US,Oregon
85.0,92,France,Burgundy
45.0,85,US,California
20.0,91,France,Alsace
35.31771674744211,87,France,Bordeaux
49.0,86,US,California
15.0,83,Spain,Northern Spain
25.0,88,US,California
20.0,85,US,Virginia
23.0,88,France,Burgundy
37.0,91,Italy,Sicily & Sardinia
40.0,87,Italy,Tuscany
23.0,88,France,Rhône Valley
75.0,92,US,California
17.0,87,US,California
20.0,89,US,California
17.0,88,Portugal,Bucelas
95.0,91,US,California
12.0,83,Argentina,Mendoza Province
55.0,94,Austria,Wachau
18.0,84,France,Bordeaux
13.0,87,Portugal,Vinho Verde
20.0,89,Australia,South Australia
29.0,88,US,California
50.0,92,Spain,Northern Spain
18.0,84,US,California
20.0,87,US,Washington
20.0,83,Spain,Levante
65.0,94,France,Alsace
80.0,93,Portugal,Port
12.0,87,South Africa,Stellenbosch
13.0,89,US,California
24.0,90,US,Washington
35.31771674744211,94,France,Bordeaux
38.0,90,US,California
45.0,87,US,California
35.31771674744211,90,Italy,Lombardy
55.0,93,US,Washington
100.0,94,Spain,Central Spain
18.0,85,Argentina,Other
15.0,85,France,Burgundy
25.0,90,US,New York
11.0,80,US,California
20.0,87,Italy,Southern Italy
26.0,90,US,California
32.0,88,US,California
35.31771674744211,87,France,Bordeaux
13.0,85,France,Bordeaux
16.0,89,France,Provence
44.0,93,US,California
28.0,88,US,Washington
19.0,87,US,California
100.0,85,Italy,Central Italy
50.0,94,US,California
35.31771674744211,87,France,Burgundy
30.0,86,Italy,Tuscany
40.0,92,US,California
40.0,88,US,California
19.0,82,Spain,Northern Spain
12.0,82,France,Provence
18.0,88,Chile,Maipo Valley
45.0,93,US,California
70.0,94,US,California
30.0,91,US,California
70.0,88,US,California
30.0,86,US,Washington
28.0,91,Portugal,Port
22.0,87,US,California
36.0,92,US,California
35.0,92,US,California
17.0,88,US,Washington
100.0,88,France,Champagne
10.0,88,US,California
60.0,88,Portugal,Port
17.0,87,Germany,Mosel
25.0,87,US,New York
48.0,90,Germany,Mosel
42.0,92,US,California
50.0,92,US,California
35.31771674744211,88,France,Bordeaux
55.0,90,Italy,Tuscany
17.0,88,Italy,Tuscany
100.0,94,US,California
17.0,87,Italy,Tuscany
18.0,82,Spain,Northern Spain
35.0,86,US,California
25.0,89,US,California
17.0,89,Spain,Northern Spain
13.0,90,France,Alsace
35.0,88,US,California
23.0,86,Israel,Galilee
40.0,91,Italy,Piedmont
35.31771674744211,87,Portugal,Lisboa
51.0,88,Italy,Tuscany
20.0,88,France,Burgundy
17.0,90,Spain,Galicia
37.0,91,France,Bordeaux
24.0,89,Italy,Northeastern Italy
18.0,85,US,California
48.0,90,US,Washington
25.0,89,Italy,Veneto
30.0,91,Spain,Levante
13.0,85,Spain,Northern Spain
14.0,89,Chile,Colchagua Valley
40.0,90,Italy,Piedmont
24.0,89,US,Washington
55.0,93,US,Washington
40.0,87,Germany,Württemberg
55.0,94,US,California
46.0,86,US,California
28.0,87,US,California
185.0,94,France,Burgundy
16.0,87,US,California
38.0,93,US,California
12.0,86,France,Bordeaux
18.0,87,Argentina,Mendoza Province
10.0,85,Italy,Tuscany
35.0,89,Chile,Chile
12.0,86,Argentina,Mendoza Province
38.0,88,Italy,Central Italy
22.0,88,US,California
25.0,90,Austria,Kremstal
10.0,85,South Africa,Coastal Region
35.31771674744211,86,Italy,Sicily & Sardinia
26.0,88,US,Washington
59.0,93,US,California
10.0,83,Chile,Maule Valley
36.0,91,US,California
40.0,89,US,California
31.0,86,Italy,Lombardy
16.0,87,Italy,Central Italy
25.0,91,France,Bordeaux
65.0,93,Italy,Sicily & Sardinia
22.0,91,France,Loire Valley
60.0,93,Italy,Veneto
28.0,91,US,California
35.31771674744211,88,France,Bordeaux
65.0,88,US,California
14.0,85,US,California
18.0,92,US,Washington
20.0,90,France,Rhône Valley
19.0,92,France,Alsace
28.0,90,US,California
42.0,91,US,California
35.31771674744211,87,France,Alsace
35.31771674744211,94,France,Burgundy
15.0,86,Chile,Colchagua Valley
11.0,86,Italy,Sicily & Sardinia
29.0,89,Argentina,Mendoza Province
50.0,94,US,Washington
19.0,88,Chile,Maipo Valley
14.0,85,US,California
22.0,89,Italy,Sicily & Sardinia
55.0,93,Italy,Piedmont
18.0,83,US,California
30.0,88,Argentina,Mendoza Province
35.31771674744211,90,France,Bordeaux
50.0,93,France,Bordeaux
13.0,87,US,California
19.0,89,Austria,Niederösterreich
38.0,91,US,California
34.0,88,US,California
50.0,92,US,Oregon
90.0,94,France,Burgundy
20.0,88,France,Alsace
40.0,89,Chile,Maipo Valley
15.0,87,US,California
32.0,91,US,Washington
32.0,91,US,California
12.0,84,France,Bordeaux
12.0,84,Italy,Central Italy
15.0,88,Argentina,Other
16.0,87,Italy,Piedmont
20.0,88,Chile,Maule Valley
14.0,86,France,Alsace
25.0,84,US,Oregon
50.0,89,Spain,Northern Spain
11.0,89,US,Washington
19.0,87,Italy,Veneto
25.0,83,Chile,Casablanca Valley
14.0,87,France,France Other
32.0,90,US,California
37.0,90,Italy,Southern Italy
30.0,85,US,California
14.0,89,US,Oregon
20.0,89,France,Loire Valley
40.0,90,Chile,Leyda Valley
34.0,91,Austria,Burgenland
86.0,91,Argentina,Mendoza Province
14.0,87,US,Washington
18.0,84,US,California
35.31771674744211,90,Italy,Tuscany
10.0,87,Spain,Northern Spain
35.31771674744211,91,Portugal,Vinho Verde
35.31771674744211,90,Germany,Mosel
100.0,90,US,California
61.0,92,Italy,Northeastern Italy
32.0,91,US,Washington
39.0,90,US,California
65.0,94,US,California
30.0,92,US,California
26.0,91,France,Loire Valley
13.0,82,US,California
15.0,90,US,Oregon
55.0,93,Austria,Vienna
11.0,86,France,France Other
35.31771674744211,90,France,Bordeaux
18.0,84,US,Washington
24.0,89,US,Oregon
29.0,86,US,California
25.0,89,US,Colorado
29.0,87,US,New York
44.0,91,France,Rhône Valley
25.0,90,Chile,Casablanca Valley
35.31771674744211,90,France,Burgundy
18.0,85,Italy,Veneto
23.0,85,US,California
21.0,91,US,California
8.0,84,South Africa,Western Cape
20.0,83,US,California
10.0,87,US,California
35.31771674744211,87,France,Bordeaux
22.0,90,Germany,Mosel
18.0,90,Chile,Maule Valley
45.0,91,US,Washington
27.0,86,France,Alsace
95.0,94,Australia,Victoria
15.0,83,Spain,Central Spain
36.0,88,France,Bordeaux
9.0,87,France,Rhône Valley
38.0,88,France,Champagne
23.0,92,France,Provence
11.0,87,Spain,Northern Spain
35.31771674744211,82,France,Alsace
35.31771674744211,90,Italy,Tuscany
10.0,83,Spain,Northern Spain
30.0,88,US,California
30.0,90,US,California
35.31771674744211,89,France,Champagne
60.0,89,Austria,Burgenland
35.31771674744211,87,Portugal,Setubal
65.0,88,US,California
35.31771674744211,91,France,Champagne
19.0,86,France,Loire Valley
35.0,88,US,Washington
21.0,88,Chile,Casablanca Valley
40.0,87,US,California
20.0,86,Italy,Veneto
40.0,87,Italy,Tuscany
35.31771674744211,86,Italy,Tuscany
38.0,89,US,Oregon
50.0,91,US,California
22.0,87,Spain,Catalonia
18.0,89,Spain,Galicia
20.0,90,Italy,Tuscany
18.0,90,Austria,Weinviertel
10.0,85,Italy,Tuscany
11.0,85,France,Southwest France
21.0,87,US,California
55.0,89,US,California
80.0,89,US,California
25.0,87,France,Bordeaux
45.0,94,France,Bordeaux
35.0,88,US,Washington
10.0,84,Argentina,Mendoza Province
26.0,85,US,California
70.0,88,US,California
84.0,92,Italy,Piedmont
35.31771674744211,89,France,Bordeaux
13.0,86,Chile,Central Valley
25.0,91,US,California
35.0,91,US,California
34.0,89,US,California
29.0,89,Italy,Lombardy
35.31771674744211,86,Italy,Tuscany
10.0,83,US,New York
11.0,83,US,California
25.0,92,Austria,Weinviertel
18.0,91,US,Oregon
24.0,88,Portugal,Port
60.0,93,Germany,Mosel
22.0,85,US,Oregon
25.0,90,US,Washington
25.0,88,US,California
19.0,88,US,California
60.0,89,US,California
19.0,91,Austria,Südsteiermark
20.0,89,Portugal,Alentejano
175.0,88,Chile,Maipo Valley
43.0,89,Italy,Piedmont
28.0,88,Italy,Northeastern Italy
10.0,87,US,California
35.31771674744211,93,France,Burgundy
65.0,87,US,California
35.31771674744211,88,Canada,British Columbia
15.0,90,Portugal,Dão
105.0,92,US,Oregon
141.0,89,France,Burgundy
35.0,91,US,Oregon
48.0,92,US,California
18.0,87,Australia,Western Australia
16.0,89,US,Virginia
35.31771674744211,87,France,Bordeaux
24.0,87,Spain,Northern Spain
35.0,93,France,Loire Valley
66.0,91,US,California
65.0,92,US,California
17.0,87,Turkey,Thrace
30.0,88,Chile,Maipo Valley
60.0,93,US,Oregon
11.0,83,Italy,Central Italy
9.0,84,US,California
25.0,90,US,Washington
13.0,84,France,France Other
60.0,93,US,California
15.0,86,US,New York
19.0,88,Argentina,Mendoza Province
35.31771674744211,89,Italy,Veneto
52.0,86,US,California
10.0,86,Spain,Northern Spain
22.0,89,France,Southwest France
10.0,85,Portugal,Douro
190.0,95,US,California
17.0,88,Portugal,Trás-os-Montes
51.0,93,Austria,Kremstal
14.0,90,US,California
35.31771674744211,90,US,California
30.0,87,US,Washington
46.0,94,Austria,Kremstal
22.0,90,Australia,Tasmania
42.0,91,US,California
28.0,88,US,Washington
25.0,88,US,California
25.0,87,Italy,Tuscany
58.0,92,US,Oregon
30.0,91,Italy,Tuscany
15.0,89,US,Washington
33.0,91,Italy,Lombardy
22.0,85,US,California
25.0,87,US,Washington
30.0,88,Italy,Tuscany
23.0,87,US,California
15.0,86,US,California
35.31771674744211,94,France,Bordeaux
40.0,93,US,Washington
50.0,88,Italy,Tuscany
25.0,84,Austria,Austria
30.0,89,US,California
35.31771674744211,84,France,Bordeaux
13.0,86,Italy,Southern Italy
40.0,92,Italy,Piedmont
21.0,89,Italy,Sicily & Sardinia
16.0,88,US,Oregon
18.0,90,Italy,Veneto
20.0,89,Italy,Piedmont
16.0,87,US,California
24.0,92,US,California
35.31771674744211,90,France,Bordeaux
60.0,89,Italy,Piedmont
18.0,89,US,New York
35.31771674744211,90,Austria,Wachau
65.0,93,US,California
15.0,86,US,Washington
14.0,90,US,California
13.0,83,US,California
55.0,82,US,Washington
18.0,90,US,Oregon
32.0,88,Australia,South Australia
35.31771674744211,87,Italy,Piedmont
20.0,90,France,Alsace
35.0,90,US,California
22.0,88,Australia,South Australia
33.0,89,Spain,Northern Spain
15.0,86,US,California
124.0,92,France,Bordeaux
20.0,91,Italy,Lombardy
45.0,90,South Africa,Paarl
17.0,89,US,California
45.0,89,Italy,Veneto
17.0,85,France,Burgundy
15.0,90,US,Washington
36.0,89,Portugal,Douro
50.0,94,US,California
30.0,85,US,California
20.0,90,US,California
35.31771674744211,96,France,Bordeaux
45.0,91,US,Washington
35.31771674744211,85,France,Loire Valley
34.0,88,US,California
13.0,87,Spain,Northern Spain
16.0,86,France,Loire Valley
18.0,86,US,California
22.0,90,France,Alsace
50.0,91,Italy,Tuscany
35.0,90,Italy,Tuscany
70.0,93,France,Bordeaux
9.0,84,US,California
24.0,92,US,California
47.0,95,US,California
48.0,94,Italy,Veneto
60.0,93,US,California
9.0,83,Spain,Northern Spain
15.0,83,France,Burgundy
10.0,83,US,California
29.0,87,US,California
22.0,90,US,California
32.0,86,US,Virginia
35.31771674744211,87,Portugal,Lisboa
15.0,88,Italy,Tuscany
12.0,85,Argentina,Mendoza Province
11.0,86,Italy,Veneto
24.0,86,France,Languedoc-Roussillon
20.0,88,New Zealand,Martinborough
35.0,90,Italy,Tuscany
23.0,92,Italy,Southern Italy
14.0,84,US,California
15.0,87,US,California
13.0,88,Australia,New South Wales
16.0,87,US,Washington
8.0,83,Spain,Northern Spain
65.0,88,US,Virginia
38.0,92,US,California
102.0,91,Italy,Piedmont
13.0,81,France,Languedoc-Roussillon
20.0,87,Chile,Casablanca Valley
22.0,90,Germany,Mosel
13.0,87,Italy,Sicily & Sardinia
9.0,80,Argentina,Other
38.0,92,US,California
56.0,89,US,California
25.0,88,US,California
13.0,85,Italy,Northeastern Italy
35.0,85,France,Champagne
35.31771674744211,87,Italy,Veneto
22.0,81,US,California
15.0,89,US,California
9.0,84,Chile,Curicó Valley
10.0,88,US,Washington
35.0,89,US,Washington
50.0,93,Spain,Andalucia
13.0,86,Portugal,Douro
10.0,83,US,California
36.0,84,US,California
18.0,89,Spain,Galicia
45.0,92,France,Languedoc-Roussillon
11.0,82,Chile,Curicó Valley
10.0,86,New Zealand,Marlborough
20.0,85,France,Rhône Valley
20.0,92,France,Beaujolais
10.0,86,US,California
79.0,93,Italy,Piedmont
35.31771674744211,91,France,Bordeaux
18.0,87,Portugal,Minho
10.0,85,Italy,Central Italy
49.0,89,Italy,Central Italy
15.0,84,US,California
26.0,86,US,California
65.0,92,US,Washington
67.0,92,Italy,Piedmont
17.0,88,US,California
18.0,88,Spain,Andalucia
17.0,88,US,Washington
28.0,90,Italy,Veneto
14.0,87,Chile,Maule Valley
50.0,91,US,California
20.0,89,South Africa,Bot River
65.0,84,US,California
11.0,86,Chile,Central Valley
28.0,88,US,California
35.0,91,US,California
16.0,86,France,Bordeaux
20.0,87,US,California
30.0,88,Italy,Southern Italy
16.0,83,Chile,Maule Valley
16.0,90,US,California
22.0,93,Portugal,Alentejo
80.0,94,US,California
50.0,90,Italy,Tuscany
43.0,94,South Africa,Swartland
25.0,87,France,Alsace
18.0,87,France,Provence
12.0,81,Chile,Casablanca Valley
25.0,91,Spain,Spanish Islands
14.0,86,France,Beaujolais
45.0,87,US,Oregon
33.0,90,Spain,Northern Spain
24.0,92,Spain,Northern Spain
24.0,88,Italy,Northeastern Italy
41.0,90,US,California
16.0,87,US,California
30.0,91,France,Alsace
67.0,90,Italy,Tuscany
85.0,93,France,Southwest France
15.0,87,US,New York
16.0,88,Spain,Northern Spain
13.0,86,Chile,Curicó and Leyda Valleys
13.0,84,US,New York
50.0,87,US,Oregon
25.0,93,US,Washington
35.31771674744211,93,France,Champagne
13.0,85,Chile,Colchagua Valley
18.0,89,France,Southwest France
11.0,87,Spain,Northern Spain
60.0,95,US,California
52.0,91,Italy,Tuscany
25.0,88,US,California
33.0,90,France,Alsace
40.0,91,Portugal,Alentejano
22.0,88,US,California
32.0,87,US,Oregon
15.0,88,Spain,Catalonia
25.0,94,US,Washington
29.0,90,France,Alsace
10.0,86,Spain,Catalonia
1000.0,97,Portugal,Port
16.0,87,Chile,Casablanca Valley
10.0,85,Argentina,Mendoza Province
175.0,94,US,California
35.31771674744211,92,France,Bordeaux
75.0,88,US,California
54.0,88,France,Burgundy
24.0,91,Argentina,Mendoza Province
10.0,85,US,California
35.31771674744211,86,France,France Other
16.0,86,France,Loire Valley
19.0,88,US,Idaho
45.0,88,France,Champagne
15.0,88,Spain,Northern Spain
65.0,90,US,Oregon
21.0,88,France,Languedoc-Roussillon
19.0,90,Spain,Galicia
38.0,90,Portugal,Tejo
60.0,90,US,California
8.0,87,Chile,Lontué Valley
35.31771674744211,87,Italy,Sicily & Sardinia
10.0,90,Portugal,Lisboa
18.0,80,US,California
35.0,90,Italy,Lombardy
18.0,87,New Zealand,Nelson
40.0,88,US,California
139.0,93,France,Southwest France
15.0,90,Canada,Ontario
45.0,94,US,Washington
19.0,90,Austria,Burgenland
15.0,85,Chile,Casablanca & Leyda Valleys
20.0,85,US,California
75.0,94,France,Burgundy
11.0,90,US,Washington
39.0,89,Chile,Colchagua Valley
17.0,86,US,California
50.0,93,US,California
45.0,93,US,California
33.0,94,France,Alsace
45.0,89,France,Burgundy
100.0,92,Spain,Northern Spain
39.0,89,US,California
36.0,88,Italy,Veneto
15.0,87,Italy,Sicily & Sardinia
60.0,93,US,California
35.31771674744211,93,France,Loire Valley
25.0,93,Portugal,Alentejano
11.0,83,Chile,Maule Valley
16.0,88,France,Loire Valley
48.0,91,US,California
35.31771674744211,94,Austria,Kamptal
17.0,87,US,New York
18.0,87,France,Alsace
18.0,87,France,Southwest France
28.0,90,Chile,Casablanca Valley
14.0,89,Bulgaria,Thracian Valley
64.0,93,Germany,Mosel
35.31771674744211,94,Austria,Vienna
12.0,88,France,Bordeaux
50.0,92,Argentina,Mendoza Province
35.31771674744211,87,Chile,Maipo Valley
45.0,90,US,California
26.0,84,Chile,Peumo
7.0,81,US,California
58.0,86,US,California
9.0,86,South Africa,Robertson
50.0,95,Italy,Tuscany
34.0,88,Italy,Lombardy
12.0,81,US,California
20.0,91,Austria,Eisenberg
32.0,88,US,California
48.0,86,US,California
39.0,93,France,Bordeaux
35.31771674744211,86,Italy,Sicily & Sardinia
10.0,85,Spain,Northern Spain
36.0,92,US,California
20.0,87,US,New York
7.0,86,Romania,Viile Timisului
36.0,90,US,Washington
14.0,90,US,California
150.0,93,US,California
16.0,89,France,Alsace
75.0,90,US,California
20.0,86,US,California
11.0,87,South Africa,South Africa
41.0,91,US,New York
14.0,85,Argentina,Mendoza Province
12.0,88,US,Washington
30.0,85,US,Idaho
45.0,92,Italy,Tuscany
45.0,91,US,Oregon
20.0,88,France,Burgundy
35.31771674744211,93,France,Bordeaux
100.0,90,Italy,Veneto
70.0,93,France,Burgundy
35.0,93,Argentina,Mendoza Province
30.0,92,Spain,Northern Spain
26.0,90,France,Burgundy
28.0,85,Mexico,Valle de Guadalupe
22.0,92,Greece,Drama
15.0,86,France,Rhône Valley
16.0,86,Spain,Catalonia
54.0,93,Australia,South Australia
23.0,90,France,Alsace
34.0,91,US,California
65.0,88,France,Champagne
10.0,85,Italy,Northeastern Italy
30.0,88,US,New York
31.0,93,France,Alsace
65.0,92,Italy,Piedmont
30.0,88,France,Bordeaux
13.0,85,France,Provence
13.0,87,Portugal,Tejo
27.0,92,France,Alsace
20.0,89,France,Alsace
80.0,87,US,California
35.0,94,US,Washington
19.0,93,France,Southwest France
26.0,91,France,Alsace
35.31771674744211,91,France,Provence
25.0,85,France,Loire Valley
11.0,82,Spain,Northern Spain
26.0,84,US,Virginia
20.0,89,France,Southwest France
25.0,92,Argentina,Mendoza Province
13.0,88,France,Beaujolais
38.0,90,US,Oregon
21.0,87,US,California
80.0,94,US,California
17.0,84,Spain,Northern Spain
35.31771674744211,93,France,Burgundy
90.0,93,Italy,Piedmont
10.0,89,Australia,South Australia
39.0,85,US,Oregon
38.0,91,US,Oregon
25.0,89,Chile,Limarí Valley
29.0,89,US,Oregon
24.0,92,France,Southwest France
33.0,91,Italy,Lombardy
26.0,89,US,California
70.0,90,Italy,Tuscany
110.0,90,Italy,Tuscany
18.0,89,Spain,Andalucia
16.0,86,Italy,Southern Italy
18.0,88,Spain,Catalonia
55.0,88,US,California
35.31771674744211,89,Portugal,Port
45.0,87,US,Oregon
15.0,86,France,Beaujolais
20.0,85,Argentina,Mendoza Province
22.0,90,US,Oregon
20.0,83,US,New York
13.0,84,France,Bordeaux
53.0,92,South Africa,Swartland
45.0,91,France,Provence
20.0,87,Italy,Veneto
42.0,88,US,California
11.0,87,US,Washington
21.0,88,US,New York
14.0,87,Italy,Sicily & Sardinia
19.0,90,Austria,Burgenland
17.0,87,US,California
40.0,89,Greece,Peloponnese
35.0,90,France,Provence
14.0,86,US,Oregon
14.0,87,US,California
50.0,93,US,California
35.0,93,US,California
